3.6774 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
248.4737 	EXP 	fixation: autoDraw = False
248.4737 	EXP 	grating: autoDraw = False
248.4739 	EXP 	window1: recordFrameIntervals = False
249.4462 	EXP 	fixation: autoDraw = True
250.4551 	EXP 	fixation: autoDraw = False
250.4719 	EXP 	grating: autoDraw = True
250.4719 	EXP 	grating: tex = 'sin'
250.7715 	EXP 	grating: autoDraw = False
250.8235 	EXP 	window1: recordFrameIntervals = False
250.8243 	DATA 	Keypress: left
250.8380 	EXP 	fixation: autoDraw = False
250.8380 	EXP 	grating: autoDraw = False
250.8382 	EXP 	window1: recordFrameIntervals = False
251.8157 	EXP 	fixation: autoDraw = True
252.8199 	EXP 	fixation: autoDraw = False
252.8365 	EXP 	grating: autoDraw = True
252.8365 	EXP 	grating: tex = 'sin'
253.1362 	EXP 	grating: autoDraw = False
253.2877 	EXP 	window1: recordFrameIntervals = False
253.2886 	DATA 	Keypress: right
253.3026 	EXP 	fixation: autoDraw = False
253.3026 	EXP 	grating: autoDraw = False
253.3028 	EXP 	window1: recordFrameIntervals = False
254.2802 	EXP 	fixation: autoDraw = True
255.2849 	EXP 	fixation: autoDraw = False
255.3012 	EXP 	grating: autoDraw = True
255.3012 	EXP 	grating: tex = 'sin'
255.6008 	EXP 	grating: autoDraw = False
255.6689 	EXP 	window1: recordFrameIntervals = False
255.6697 	DATA 	Keypress: left
255.6840 	EXP 	fixation: autoDraw = False
255.6840 	EXP 	grating: autoDraw = False
255.6842 	EXP 	window1: recordFrameIntervals = False
256.6592 	EXP 	fixation: autoDraw = True
257.6657 	EXP 	fixation: autoDraw = False
257.6825 	EXP 	grating: autoDraw = True
257.6825 	EXP 	grating: tex = 'sin'
257.9822 	EXP 	grating: autoDraw = False
258.0834 	EXP 	window1: recordFrameIntervals = False
258.0842 	DATA 	Keypress: right
258.0988 	EXP 	fixation: autoDraw = False
258.0988 	EXP 	grating: autoDraw = False
258.0989 	EXP 	window1: recordFrameIntervals = False
259.0729 	EXP 	fixation: autoDraw = True
260.0805 	EXP 	fixation: autoDraw = False
260.0971 	EXP 	grating: autoDraw = True
260.0971 	EXP 	grating: tex = 'sin'
260.3968 	EXP 	grating: autoDraw = False
260.4982 	EXP 	window1: recordFrameIntervals = False
260.4989 	DATA 	Keypress: left
260.5136 	EXP 	fixation: autoDraw = False
260.5136 	EXP 	grating: autoDraw = False
260.5138 	EXP 	window1: recordFrameIntervals = False
261.4864 	EXP 	fixation: autoDraw = True
262.4951 	EXP 	fixation: autoDraw = False
262.5118 	EXP 	grating: autoDraw = True
262.5118 	EXP 	grating: tex = 'sin'
262.8115 	EXP 	grating: autoDraw = False
262.8796 	EXP 	window1: recordFrameIntervals = False
262.8802 	DATA 	Keypress: left
262.8949 	EXP 	fixation: autoDraw = False
262.8949 	EXP 	grating: autoDraw = False
262.8950 	EXP 	window1: recordFrameIntervals = False
263.8682 	EXP 	fixation: autoDraw = True
264.8766 	EXP 	fixation: autoDraw = False
264.8933 	EXP 	grating: autoDraw = True
264.8933 	EXP 	grating: tex = 'sin'
265.1928 	EXP 	grating: autoDraw = False
265.3610 	EXP 	window1: recordFrameIntervals = False
265.3618 	DATA 	Keypress: right
265.3762 	EXP 	fixation: autoDraw = False
265.3762 	EXP 	grating: autoDraw = False
265.3764 	EXP 	window1: recordFrameIntervals = False
266.3493 	EXP 	fixation: autoDraw = True
267.3578 	EXP 	fixation: autoDraw = False
267.3746 	EXP 	grating: autoDraw = True
267.3746 	EXP 	grating: tex = 'sin'
267.6741 	EXP 	grating: autoDraw = False
267.8090 	EXP 	window1: recordFrameIntervals = False
